"","values","ind"
"309","C1QA","REACTOME_INNATE_IMMUNE_SYSTEM"
"310","TNFAIP3","REACTOME_INNATE_IMMUNE_SYSTEM"
"311","C1QB","REACTOME_INNATE_IMMUNE_SYSTEM"
"312","C1QC","REACTOME_INNATE_IMMUNE_SYSTEM"
"313","C1S","REACTOME_INNATE_IMMUNE_SYSTEM"
"314","C2","REACTOME_INNATE_IMMUNE_SYSTEM"
"315","C3","REACTOME_INNATE_IMMUNE_SYSTEM"
"316","HSP90B1","REACTOME_INNATE_IMMUNE_SYSTEM"
"317","TRAF2","REACTOME_INNATE_IMMUNE_SYSTEM"
"318","TRAF3","REACTOME_INNATE_IMMUNE_SYSTEM"
"319","TRAF6","REACTOME_INNATE_IMMUNE_SYSTEM"
"320","C4A","REACTOME_INNATE_IMMUNE_SYSTEM"
"321","C4BPA","REACTOME_INNATE_IMMUNE_SYSTEM"
"322","C4BPB","REACTOME_INNATE_IMMUNE_SYSTEM"
"323","C5","REACTOME_INNATE_IMMUNE_SYSTEM"
"324","DEFA1B","REACTOME_INNATE_IMMUNE_SYSTEM"
"325","DEFB4B","REACTOME_INNATE_IMMUNE_SYSTEM"
"326","RPS27AP11","REACTOME_INNATE_IMMUNE_SYSTEM"
"327","C6","REACTOME_INNATE_IMMUNE_SYSTEM"
"328","TXN","REACTOME_INNATE_IMMUNE_SYSTEM"
"329","LOC729523","REACTOME_INNATE_IMMUNE_SYSTEM"
"330","C7","REACTOME_INNATE_IMMUNE_SYSTEM"
"331","C8A","REACTOME_INNATE_IMMUNE_SYSTEM"
"332","LOC731066","REACTOME_INNATE_IMMUNE_SYSTEM"
"333","UBA52","REACTOME_INNATE_IMMUNE_SYSTEM"
"334","UBA7","REACTOME_INNATE_IMMUNE_SYSTEM"
"335","LOC731949","REACTOME_INNATE_IMMUNE_SYSTEM"
"336","C8B","REACTOME_INNATE_IMMUNE_SYSTEM"
"337","UBE2D1","REACTOME_INNATE_IMMUNE_SYSTEM"
"338","UBE2D2","REACTOME_INNATE_IMMUNE_SYSTEM"
"339","UBE2D3","REACTOME_INNATE_IMMUNE_SYSTEM"
"340","C8G","REACTOME_INNATE_IMMUNE_SYSTEM"
"341","UBE2N","REACTOME_INNATE_IMMUNE_SYSTEM"
"342","C9","REACTOME_INNATE_IMMUNE_SYSTEM"
"343","TRIM25","REACTOME_INNATE_IMMUNE_SYSTEM"
"344","MAPKAPK3","REACTOME_INNATE_IMMUNE_SYSTEM"
"345","DHX58","REACTOME_INNATE_IMMUNE_SYSTEM"
"346","NLRX1","REACTOME_INNATE_IMMUNE_SYSTEM"
"347","SIKE1","REACTOME_INNATE_IMMUNE_SYSTEM"
"348","ZBP1","REACTOME_INNATE_IMMUNE_SYSTEM"
"349","UNC93B1","REACTOME_INNATE_IMMUNE_SYSTEM"
"350","DEFB126","REACTOME_INNATE_IMMUNE_SYSTEM"
"351","TLR10","REACTOME_INNATE_IMMUNE_SYSTEM"
"352","CAPZA1","REACTOME_INNATE_IMMUNE_SYSTEM"
"353","CAPZA2","REACTOME_INNATE_IMMUNE_SYSTEM"
"354","CASP1","REACTOME_INNATE_IMMUNE_SYSTEM"
"355","CASP2","REACTOME_INNATE_IMMUNE_SYSTEM"
"356","CASP4","REACTOME_INNATE_IMMUNE_SYSTEM"
"357","CASP8","REACTOME_INNATE_IMMUNE_SYSTEM"
"358","EEA1","REACTOME_INNATE_IMMUNE_SYSTEM"
"359","NLRC5","REACTOME_INNATE_IMMUNE_SYSTEM"
"360","CASP9","REACTOME_INNATE_IMMUNE_SYSTEM"
"361","RNF135","REACTOME_INNATE_IMMUNE_SYSTEM"
"362","CASP10","REACTOME_INNATE_IMMUNE_SYSTEM"
"363","IKBKG","REACTOME_INNATE_IMMUNE_SYSTEM"
"364","RIPK1","REACTOME_INNATE_IMMUNE_SYSTEM"
"365","RIPK2","REACTOME_INNATE_IMMUNE_SYSTEM"
"366","FADD","REACTOME_INNATE_IMMUNE_SYSTEM"
"367","TAX1BP1","REACTOME_INNATE_IMMUNE_SYSTEM"
"368","PSTPIP1","REACTOME_INNATE_IMMUNE_SYSTEM"
"369","ATG12","REACTOME_INNATE_IMMUNE_SYSTEM"
"370","CD4","REACTOME_INNATE_IMMUNE_SYSTEM"
"371","UBE2L6","REACTOME_INNATE_IMMUNE_SYSTEM"
"372","RPS6KA5","REACTOME_INNATE_IMMUNE_SYSTEM"
"373","MAPKAPK2","REACTOME_INNATE_IMMUNE_SYSTEM"
