,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S10-28388_,,,,,,,,,,,,M-S10-28388_1,,,,,,,,,,,,M-S10-28388_2,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,8,1,63,810,440,1,1,1,63,810,0,,8,1,1236,909,791,1,1,1,1236,909,0,,8,1,3480,57,820,1,1,1,3480,57,0
,8,1,147,717,634,1,1,1,147,717,0,,8,1,1185,921,805,1,1,1,1185,921,0,,3,3,2151,2679,214,3,1,1,2151,2679,0
,8,1,63,657,560,1,1,1,63,657,0,,8,1,1059,825,992,1,1,1,1059,825,0,,3,3,2142,2574,217,3,1,1,2142,2574,0
,8,1,42,636,540,1,1,1,42,636,0,,8,1,1107,768,1328,1,1,1,1107,768,0,,3,3,2184,2589,216,3,1,1,2184,2589,0
,8,1,108,528,750,1,1,1,108,528,0,,8,1,960,885,904,1,1,1,960,885,0,,3,3,2172,2505,245,3,1,1,2172,2505,0
,8,1,42,510,489,1,1,1,42,510,0,,8,1,957,1155,874,1,1,1,957,1155,0,,3,3,2058,2475,227,3,1,1,2058,2475,0
,8,1,33,456,422,1,1,1,33,456,0,,8,1,1014,1158,1019,1,1,1,1014,1158,0,,3,3,2049,2418,226,3,1,1,2049,2418,0
,8,1,54,402,689,1,1,1,54,402,0,,8,1,882,1041,1058,1,1,1,882,1041,0,,3,3,2067,2409,218,3,1,1,2067,2409,0
,8,1,36,321,465,1,1,1,36,321,0,,8,1,852,1131,906,1,1,1,852,1131,0,,3,3,2091,2331,235,3,1,1,2091,2331,0
,8,1,45,261,674,1,1,1,45,261,0,,8,1,822,1251,1124,1,1,1,822,1251,0,,3,3,2103,2391,213,3,1,1,2103,2391,0
,8,1,246,393,787,1,1,1,246,393,0,,8,1,819,1182,674,1,1,1,819,1182,0,,3,3,2133,2346,222,3,1,1,2133,2346,0
,8,1,174,321,537,1,1,1,174,321,0,,8,1,600,975,851,1,1,1,600,975,0,,3,3,2175,2379,231,3,1,1,2175,2379,0
,8,1,228,294,612,1,1,1,228,294,0,,8,1,579,1059,296,1,1,1,579,1059,0,,3,3,2217,2271,210,3,1,1,2217,2271,0
,8,1,315,285,612,1,1,1,315,285,0,,8,1,705,924,1097,1,1,1,705,924,0,,3,3,2208,2226,214,3,1,1,2208,2226,0
,8,1,486,141,521,1,1,1,486,141,0,,8,1,555,1215,553,1,1,1,555,1215,0,,3,3,2253,2226,211,3,1,1,2253,2226,0
,8,1,675,297,288,1,1,1,675,297,0,,8,1,549,1107,869,1,1,1,549,1107,0,,3,3,2265,2157,214,3,1,1,2265,2157,0
,8,1,309,618,822,1,1,1,309,618,0,,8,1,543,1173,922,1,1,1,543,1173,0,,3,3,2220,2127,214,3,1,1,2220,2127,0
,8,1,291,657,996,1,1,1,291,657,0,,8,1,657,1077,269,1,1,1,657,1077,0,,3,3,2250,2121,215,3,1,1,2250,2121,0
,8,1,285,723,804,1,1,1,285,723,0,,8,1,576,594,1636,1,1,1,576,594,0,,3,3,2283,2025,218,3,1,1,2283,2025,0
,8,1,516,672,959,1,1,1,516,672,0,,8,1,636,627,940,1,1,1,636,627,0,,3,3,2328,2049,221,3,1,1,2328,2049,0
,8,1,561,669,899,1,1,1,561,669,0,,8,1,609,663,479,1,1,1,609,663,0,,3,3,2274,1941,217,3,1,1,2274,1941,0
,8,1,645,717,844,1,1,1,645,717,0,,8,1,501,576,1106,1,1,1,501,576,0,,3,3,2217,2022,209,3,1,1,2217,2022,0
,8,1,678,684,1230,1,1,1,678,684,0,,8,1,264,786,1354,1,1,1,264,786,0,,3,3,2358,1896,217,3,1,1,2358,1896,0
,8,1,774,642,920,1,1,1,774,642,0,,1,3,267,672,203,3,1,1,267,672,0,,3,3,2148,1851,214,3,1,1,2148,1851,0
,8,1,750,1011,612,1,1,1,750,1011,0,,1,3,1860,216,206,3,1,1,1860,216,0,,3,3,2139,1746,222,3,1,1,2139,1746,0
